,prediction,signal,position,actual_return,strategy_return,equity,transaction_cost,cum_cost
2023-08-01,0.021470174193382263,1.0,0.5,0.0,-0.00025,99975.0,0.00025,0.00025
2023-08-02,0.02346649020910263,1.0,0.5,-0.015489915765166562,-0.007744957882583281,99200.69783568874,0.0,0.00025
2023-08-03,0.027139123529195786,1.0,0.5,-0.007321698308431213,-0.0036608491542156063,98837.53904491937,0.0,0.00025
2023-08-04,0.030642852187156677,1.0,0.5,-0.04801996718766022,-0.02400998359383011,96464.45135399631,0.0,0.00025
2023-08-07,0.03559565544128418,1.0,0.5,-0.01725377927044114,-0.00862688963522057,95632.26317844327,0.0,0.00025
2023-08-08,0.034819796681404114,1.0,0.5,0.005311626085862997,0.0026558130429314986,95886.24459031764,0.0,0.00025
2023-08-09,0.03240786865353584,1.0,0.5,-0.008954302013838844,-0.004477151006919422,95456.94739380038,0.0,0.00025
2023-08-10,0.04137563705444336,1.0,0.5,-0.001234751045803728,-0.000617375522901864,95398.01461098851,0.0,0.00025
2023-08-11,0.051545992493629456,1.0,0.5,0.00033771145075478515,0.00016885572537739257,95414.12311194521,0.0,0.00025
2023-08-14,0.06173116713762283,1.0,0.5,0.009393249353654598,0.004696624676827299,95862.2474370706,0.0,0.00025
2023-08-15,0.06831987202167511,1.0,0.36721954366995313,-0.011200398731889494,-0.004179395539411005,95461.6011877342,6.639022816502343e-05,0.00031639022816502344
2023-08-16,0.07634969055652618,1.0,0.38647858122711876,-0.0049592632259995995,-0.001926278534294732,95277.71555451686,9.629518778582813e-06,0.00032601974694360623
2023-08-17,0.08111709356307983,1.0,0.6469324224840999,-0.014555005461788229,-0.009546331863292455,94368.16286265706,0.00013022692062849057,0.00045624666757209677
2023-08-18,0.08036965131759644,1.0,0.670689790237671,0.002816122654868858,0.0018768660288007617,94545.27926173431,1.1878683876785534e-05,0.0004681253514488823
2023-08-21,0.08981313556432724,1.0,0.6810392394057709,0.00773659035830776,0.005263746888631887,95042.94168128309,5.1747245840499944e-06,0.0004733000760329323
2023-08-22,0.10262680053710938,1.0,0.6773229509320281,0.007905107109012821,0.005352452330273446,95551.65449596112,1.8581442368714173e-06,0.0004751582202698037
2023-08-23,0.10494324564933777,1.0,0.6768280059534726,0.021948886798369482,0.014855373812149639,96971.110041868,2.4747248927775577e-07,0.00047540569275908147
2023-08-24,0.1098283976316452,1.0,0.3918547440002286,-0.026170474162876767,-0.010397511084435295,95962.85185033768,0.000142486630976622,0.0006178923237357035
2023-08-25,0.10774631798267365,1.0,0.38163936168003004,0.012643124843549458,0.004820006403773045,96425.39341078064,5.107691160099293e-06,0.0006230000148958028
2023-08-28,0.09716569632291794,1.0,0.3788382395049577,0.008846053585060076,0.0033498228056431426,96748.40139267119,1.4005610875361674e-06,0.0006244005759833389
2023-08-29,0.10119977593421936,1.0,0.38203920893858084,0.021810141226042523,0.008330728616119205,97554.3860687169,1.6004847168115677e-06,0.0006260010607001505
2023-08-30,0.08464942872524261,1.0,0.35894293912522246,0.0191725127885225,0.006870289955821502,98224.61298747115,1.1548134906679191e-05,0.0006375491956068296
2023-08-31,0.07527942955493927,1.0,0.35036591874327916,0.001172238618718291,0.0004064239504426149,98264.53382271221,4.2885101909716506e-06,0.0006418377057978013
2023-09-01,0.07146157324314117,1.0,0.35154668444701614,0.008463367479554007,0.002974678393842042,98556.8392083556,5.903828518684928e-07,0.0006424280886496698
2023-09-05,0.05643340200185776,1.0,0.7379207441542925,0.001266803665395111,0.0007416136736121075,98629.93030794049,0.0001931870298536382,0.0008356151185033079
2023-09-06,0.04872953146696091,1.0,0.7876589174122519,-0.035793458861683725,-0.028217906144062756,95846.80019151558,2.4869086628979687e-05,0.0008604842051322876
2023-09-07,0.055346470326185226,1.0,0.40142486537378996,-0.029249351659740075,-0.01193453407830103,94702.91328833382,0.000193117026019231,0.0010536012311515186
2023-09-08,0.05922829732298851,1.0,0.368344733666123,0.0034916349867737395,0.0012695852934086567,94823.14671428764,1.654006585383347e-05,0.001070141297005352
2023-09-11,0.05738005042076111,1.0,0.3680023586602667,0.0066228063145390426,0.0024370371571975475,95054.23424619275,1.7118750292816066e-07,0.0010703124845082802
2023-09-12,0.052098359912633896,1.0,0.36660478485646886,-0.01706073353631643,-0.006255245334476727,94459.646690902,6.987869018989235e-07,0.001071011271410179
2023-09-13,0.05876488611102104,1.0,0.3596784228540428,-0.011854828265495776,-0.004267389114740261,94056.55062283103,3.4631810012130395e-06,0.0010744744524113922
2023-09-14,0.06384387612342834,1.0,0.3592004995266404,0.008782542635106694,0.0031544547399806402,94353.24775476944,2.389616637011871e-07,0.0010747134140750934
2023-09-15,0.0633307546377182,1.0,0.35702718477774736,-0.004153855424713693,-0.0014841259656337502,94213.21564983472,1.0866573744465203e-06,0.0010758000714495399
2023-09-18,0.07399524748325348,1.0,0.36379925341028874,0.016913279516468593,0.006149652426494533,94792.59418006358,3.3860343162706866e-06,0.0010791861057658106
2023-09-19,0.07285310328006744,1.0,0.3550987595930046,0.006180858396364952,0.00219046490286056,95000.2340306661,4.35024690864208e-06,0.0010835363526744528
2023-09-20,0.07091330736875534,1.0,0.35569839187068003,-0.01999217386064278,-0.007111483908368519,94324.64139506579,2.998161388377274e-07,0.0010838361688132905
2023-09-21,0.0718342661857605,1.0,0.34451470182022453,-0.008889494504071505,-0.003068153393427947,94035.23892648565,5.591845025227748e-06,0.0010894280138385184
2023-09-22,0.06919105350971222,1.0,0.3595449011325412,0.004944599696360186,0.0017702905093116576,94201.70861749806,7.51509965615832e-06,0.0010969431134946767
2023-09-25,0.06016675755381584,1.0,0.38149023361471984,0.007380273907946933,0.002804529751042207,94465.90011191485,1.0972666241089336e-05,0.001107915779735766
2023-09-26,0.05308881774544716,1.0,0.3860463837388548,-0.02339857964812264,-0.009035215132845378,93612.38038168581,2.278075062067481e-06,0.0011101938547978336
2023-09-27,0.051494281738996506,1.0,0.3710407774831322,-0.008897278612560622,-0.0033087559770163984,93302.63985857517,7.5028031278613076e-06,0.0011176966579256949
2023-09-28,0.04720981419086456,1.0,0.3947715192325707,0.0015256455279508696,0.0005904160320048229,93357.72723297605,1.1865370874719255e-05,0.001129562028800414
2023-09-29,0.044524114578962326,1.0,0.6721355183945001,0.0030462811890643593,0.0019088317866062226,93535.93143024367,0.00013868199958096472,0.0012682440283813788
2023-10-02,0.032637372612953186,1.0,0.6699720061422022,0.014835657586956374,0.009938393519845795,94465.52832504275,1.0817561261489694e-06,0.0012693257845075277
2023-10-03,0.023163242265582085,1.0,0.6530956178854668,-0.007769807772135651,-0.005082865601922602,93985.37274055195,8.438194128367716e-06,0.0012777639786358953
2023-10-04,0.031272247433662415,1.0,0.6548122245762559,0.007308601089569766,0.004784903034656232,94435.08363579151,8.58303345394551e-07,0.00127862228198129
2023-10-05,0.02420669049024582,1.0,0.7437576416005715,0.007197879732381507,0.005309005345768464,94936.43999964203,4.447270851215779e-05,0.0013230949904934478
2023-10-06,0.022445211187005043,1.0,0.8,0.014750422678814656,0.01177221696385201,96054.05236909354,2.8121179199714296e-05,0.001351216169693162
2023-10-09,0.009392029605805874,1.0,0.8,0.008451245690270115,0.006760996552216092,96703.47348598737,0.0,0.001351216169693162
2023-10-10,0.01715507172048092,1.0,0.8,-0.003352133778996569,-0.002681707023197255,96444.14310197243,0.0,0.001351216169693162
2023-10-11,0.00965985655784607,1.0,0.8,0.007904087563194828,0.006323270050555863,97053.98546360065,0.0,0.001351216169693162
2023-10-12,0.010509312152862549,1.0,1.0,0.005061185505881527,0.004961185505881527,97535.4882895707,9.999999999999998e-05,0.001451216169693162
2023-10-13,0.009269939735531807,1.0,1.0,-0.010292740630026609,-0.010292740630026609,96531.58080638315,0.0,0.001451216169693162
2023-10-16,0.015256084501743317,1.0,1.0,-0.0007269533266962558,-0.0007269533266962558,96461.4068525847,0.0,0.001451216169693162
2023-10-17,0.012254113331437111,1.0,1.0,-0.008784550220455989,-0.008784550220455989,95614.03677975232,0.0,0.001451216169693162
2023-10-18,0.016871802508831024,1.0,1.0,-0.007395066481525658,-0.007395066481525658,94906.96462119902,0.0,0.001451216169693162
2023-10-19,0.022306319326162338,1.0,1.0,-0.0021609505162173415,-0.0021609505162173415,94701.87536700822,0.0,0.001451216169693162
2023-10-20,0.0194116048514843,1.0,1.0,-0.014704096801757993,-0.014704096801757993,93309.3698243037,0.0,0.001451216169693162
